Sample_Name,Characteristics:_Organism,Characteristics:_Sex,Factor_Value:_Genotype,Comment:_Genotype_Info,Characteristics:_Age,Characteristics:_diet,Characteristics:_Material_Type,Protocol_REF,Factor_Value:_Spaceflight,Parameter_Value:_Duration,Parameter_Value:_Housing_Temperature,Protocol_REF,Parameter_Value:_Sample_Preservation_Method,Parameter_Value:_Sample_Storage_Temperature
KCNQ97_Female_FLT_23,Drosophila melanogaster,female,KCNQ97,wildtype genetic background of KCNQ370 mutant,1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
KCNQ97_Female_FLT_24,Drosophila melanogaster,female,KCNQ97,wildtype genetic background of KCNQ370 mutant,1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_GC_09,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_GC_10,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_GC_11,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_GC_12,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Ground Control,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_FLT_25,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_FLT_26,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_FLT_27,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
Seits1_Female_FLT_28,Drosophila melanogaster,female,Sei ts1,"seizure mutant, early stop codon, hERG K+ channel homolog",1 to 3 week,regular cornmeal/molasses diet,Head,treatment,Space Flight,30 day,~ 21 degree Celsius,sample collection,Qiazol,-80 degree Celsius
